mg,bp_rp
7.138617899917275,1.7823734
9.827280129636808,2.7147007
4.353407355180686,0.71941185
2.905347371932015,1.1009092
5.9601964612272464,1.0182419
3.456450640796646,1.0155525
5.971073231273138,1.0805054
3.890280785397941,0.8827419
4.511771460304491,1.0001793
8.28999744588345,1.9432316
3.212748801450253,1.5966043
5.943986191909195,1.1701574
9.821571707759265,2.280096
7.18836731807469,1.6864376
5.983932031067466,1.8192253
5.710724138010846,1.5619736
8.098038436805663,1.8342762
1.738713354632921,0.8450718
6.3573326992925345,1.6051025
6.559317998120733,1.4259071
3.8793791187330555,1.24687
6.670440256711071,1.4125385
-1.1077319890974096,0.21465206
7.31096991078228,1.5114746
9.20292346335312,2.1018524
5.8607233977687265,1.254036
4.906351497980367,1.2353554
7.099203945252512,1.5494041
6.169283380658975,1.7755404
4.595566543230534,1.1736507
6.802805477134285,1.3936329
7.529973560086908,1.7687492
4.455882658701952,1.0351677
0.3686359564477293,2.632411
6.144193668939735,1.532999
3.5983967562817583,0.76772213
4.339359070026703,0.9314785
9.156503930689937,2.3072128
0.5883938734042697,1.159236
5.309357211473081,1.3096113
3.8728894051761706,0.98296833
6.367860238889598,1.1826115
5.650163965852421,1.2358398
4.602229388052619,1.1489639
6.553078880747087,1.347395
2.779836361163765,1.2012215
4.166201072231225,1.3585548
2.2465288460909196,1.1931791
1.9810362826745447,0.7196436
3.517180431059556,1.6310024
5.132472248323419,0.8818064
7.531129735666344,1.857069
3.682412126770462,1.0263062
4.836982096124878,1.2097702
8.73294455278366,1.97859
4.751125963950926,1.8664265
-0.9984689058390686,1.6020565
5.280530276030275,1.3448858
6.398387706356129,1.3393841
10.110222648726658,2.6492214
5.591899893977283,1.1795502
9.69939967890518,2.332632
3.5881369716283533,1.4890327
4.350228947866849,1.3671646
4.268216402391481,1.2349215
8.865164386890346,1.9577999
1.559550411662368,2.037221
6.274357581105875,1.1662722
8.220504525422538,1.8553524
4.5894256150025114,1.0008907
-0.09451535578855896,1.3516111
4.343547289016904,0.9230013
4.293215578320407,1.288208
9.705986081465937,2.388176
4.888860339854281,0.9919281
3.765339960475739,0.99989605
6.491922891614326,1.4238644
8.629597320354168,2.1108189
-0.19941947718477948,1.7350216
3.918224645472458,0.82487106
5.1173802002979585,0.9809599
5.725764351485612,1.2063255
4.657715972230131,1.2064743
6.603218670024486,1.5309219
4.767164690951224,1.152134
3.7910261928516356,0.88115406
4.143820748021318,0.9914179
6.272451156597892,1.2480679
5.934016639745234,1.2470989
3.7955838514370033,1.0492201
1.8577605998016757,2.0873642
2.4008844693693305,2.217493
7.19036461939611,1.5474434
1.0023220501532162,1.3820295
8.191230904701445,2.3461075
3.4561153580346673,1.2380161
1.6246153394368932,1.955369
3.8218293794091878,1.0412207
7.939011879777329,1.8301506
5.695644201422439,1.426156
4.061384325911442,1.2401133
5.425926435498379,1.0264015
5.901041489985008,1.3839092
10.093793331649323,2.3092213
5.89586881772286,1.229516
5.629468034683182,1.1079884
4.303752750056665,0.97930336
4.540479407148233,0.853035
6.696684225966216,2.0717068
7.120709523193501,1.495739
4.608702985238704,0.933341
4.666465913593365,1.1114597
5.37972064138418,1.1673689
5.667202928450157,1.2408895
3.3162912252903602,1.0642052
4.1484149306416125,1.0169983
10.026510861215197,2.3090897
5.525917261022597,1.6749086
9.125401433820233,1.7617188
6.379158033063401,1.2891998
4.074667028112803,0.8952751
5.168191443718349,1.1416197
7.4343087054572905,1.6457729
3.1566408079524297,0.81605625
0.8693761570355747,1.4855242
6.505070116473949,1.3390493
5.497204443352837,1.3123741
3.8002902635320837,0.9493284
7.613859763220308,1.7003002
4.5580490185272495,1.1997299
5.867305953549181,1.2241898
6.749265722891657,1.3257656
